comment_id,polarized
h15poei,False
h15fsuz,False
h159h8b,False
h13bl5i,False
h13105s,False
h15l4b9,True
h15swn0,True
h15gmlm,True
h14b33n,True
h14b33n,False
h13qqwo,True
h1439aw,True
h15ofnd,True
h163rqg,True
h13vu1b,True
h13qy19,True
h167rtn,True
h1603iv,True
h16024q,False
h1avod4,True
h1aeg6l,True
gbd8w9r,True
gb7d2fz,False
gb7a71u,False
gmlth82,False
gb7ad2h,False
gb79149,False
fwgepcq,True
fwh5kkc,True
gb7d2fz,False
gb7ad2h,False
fwgepcq,True
fwh5kkc,True
fwgnsl6,True
fwgnsl6,True
glbg7ba,True
gqvys9y,True
gkoztud,True
gj3ye9l,True
glsw78o,True
h19kuue,True
h17ckf7,True
h1at03z,True
h0xefhv,True
grmj4su,True
grwu6kp,True
gr4vnpl,True
frgiiuz,True
fkhajyi,True
fdknnh5,True
fg71aaj,True
frewoyo,False
gvhzlxi,False
gq6gv82,False
gr232we,True
h13wgxu,True
h13zuqm,False
h13hdz5,True
h13zhy2,True
h12fs85,False
h13ggz4,True
h12fd9c,True
h13wo1b,False
h12x8bl,False
h12x8bl,False
h13ifg1,True
h12r63k,False
h12xrnw,False
h12xrnw,True
h12gqqu,False
h13drqg,False
h13ttcs,False
h12hivm,True
h12qgbq,True
h156nl7,True
h15aqjp,False
h15b4f7,False
h15y115,True
h1645s0,False
h15i1b7,True
h15re9j,True
h15lzjh,True
h15d2jb,True
h15ep43,True
h160kno,False
h163n57,True
h16bc95,True
h15zb5m,True
h1685fa,True
h164syy,False
h15wkr2,True
h13nujb,True
foj7gzr,False
fppu0ot,False
g5gvdbq,False
h156nl7,True
h15mla2,True
h15wgnk,True
h155ab6,False
h15m8f0,True
h15bloa,True
h15rs2a,True
h15gznc,True
h15iqgz,True
h15jbwt,True
h15z8bg,True
h15otk4,True
h15qbdi,True
h156m27,True
h15dm36,True
h157mh4,True
h1562bm,True
h154rc7,True
h15ip98,False
h284isa,False
h2877w6,False
h284474,False
h28p0it,False
h29kdw7,False
h28jweh,False
gkhrd0g,False
gkhu9ig,False
gkih8i2,False
gkn88ez,True
gp9101k,False
gxvjcyq,False
gyuk4h4,False
gwuo5g7,False
gwvhrq4,False
gwwh2jc,False
gwunzfa,False
gwy37rb,False
gwgapdm,False
gwfcx3l,False
gwgpazo,False
h1yx0ad,False
h1zr9up,False
h1yk9zm,False
h1yleyh,False
h1yy8ov,False
h1yplsx,False
h1y4znh,False
h2080nn,False
h1ziyw2,False
h206zw8,False
h209743,False
h1vm5e6,False
h22y1js,False
h1tsk39,False
h1thkfd,False
h1unmr3,False
h1k6lvt,False
h1qx3uf,False
h1fxem4,False
h12st26,False
gvcxyrp,False
gvcxwcm,False
gvd7b4v,False
